Latitude,Longitude,Location
19.00203,72.8118,VENUS BUILDING WATUMAL ENGG.COLLEGE
18.99818,72.8115,WORLI DAIRY
19.01397,72.81989,WORLI DEPOT
19.01348,72.82004,WORLI DEPOT
19.01671,72.82073,WORLI VILLAGE
19.01146,72.83536,KAMGAR STADIUM (PRABHADEVI)
19.0165,72.81885,WORLI SEA FACE POST OFFICE
19.02398,72.83965,RAM GANESH GADKARI CHOWK (DADAR-W)
19.01136,72.82092,PASSPORT OFFICE (WORLI)
19.01832,72.84164,DADAR STATION (W)
19.01824,72.84137,DADAR STATION (W)
19.02727,72.83687,VANITA SAMAJ CHAITYABHOOMI
19.02447,72.83788,RAM GANESH GADKARI CHOWK (DADAR-W)
19.01579,72.81764,WORLI SEA FACE (S)
19.00511,72.81496,WORLI POST OFFICE
19.02466,72.84313,KOHINOOR PPL GATE NO.2
19.0242,72.84302,KOHINOOR PPL GATE NO.2
19.01239,72.82235,BABASAHEB WORLIKAR CHOWK (CENTURY BAZAAR)
19.01272,72.82586,BABASAHEB WORLIKAR CHOWK (CENTURY BAZAAR)
18.99451,72.83119,BAWLA MASJID
18.98104,72.83199,S BRIDGE MANDLIK CHOWK
18.98072,72.83188,S BRIDGE MANDLIK CHOWK
19.02315,72.83455,CATERING COLLEGE SURYAVANSHI HALL
19.03004,72.8418,CITYLIGHT CINEMA
19.02985,72.84175,CITYLIGHT CINEMA
19.02981,72.84165,CITYLIGHT CINEMA
19.01867,72.84015,KABUTARKHANA (DADAR-W)
19.0142,72.83538,DADAR POLICE STATION
19.00692,72.83199,DEEPAK CINEMA
19.03135,72.84276,DHAIRYAVAN CHOWK
19.00594,72.81813,DOORDARSHAN (WORLI)
19.00564,72.81801,DOORDARSHAN (WORLI)
18.99814,72.8281,DAWN MILL
19.00724,72.83534,PRABHADEVI STATION (W)
19.00321,72.81356,FLORA HOTEL WATUMAL ENGG.COLLEGE
19.00303,72.81377,FLORA HOTEL WATUMAL ENGG.COLLEGE
18.98578,72.83111,COMRADE GULABRAO GANACHARYA CHOWK
18.98595,72.83106,COMRADE GULABRAO GANACHARYA CHOWK
18.99608,72.8227,DAINIK SHIVNER
18.99678,72.82247,DAINIK SHIVNER
18.99311,72.8224,DAINIK SHIVNER
18.99327,72.8201,JIJAMATA NAGAR (WORLI)
19.00296,72.82986,KAMALA MILL
19.01472,72.83263,KHEDGALLI SIDDHIVINAYAK MANDIR (PRABHADEVI)
18.9969,72.83125,LOWER PAREL STATION
18.99704,72.83137,LOWER PAREL STATION
18.99678,72.83138,LOWER PAREL STATION
19.0009,72.83116,LOWER PAREL WORKSHOP
18.9834,72.82448,MAHALAXMI STATION
19.01356,72.8375,MHATRE PEN COMPANY
18.99135,72.83146,N.M.JOSHI MARG POLICE STATION
18.98956,72.81378,NEHRU PLANETARIUM (WORLI)
18.99462,72.8138,NARAYAN PUJARI NAGAR (WORLI)
19.01102,72.81623,NATIONAL ASSOCIATION FOR BLIND (NAB)
19.0049,72.82092,COMRADE P.K.KURNE CHOWK (WORLI )
19.00544,72.82105,COMRADE P.K.KURNE CHOWK (WORLI )
19.02576,72.83713,SHIVAJI PARK GYMKHANA
19.01428,72.8352,DADAR POLICE STATION
19.20039,72.84876,BALBHARATI (KANDIVALI-W)
19.21042,72.82684,RANA & SONS
19.21449,72.8209,CHARKOP POLICE STATION
19.20872,72.82102,CHARKOP VILLAGE
19.22013,72.84074,ADITYA APARTMENT CHIKOOWADI
19.20773,72.83724,DAHANUKAR WADI
19.20749,72.83784,DAHANUKAR WADI
19.21798,72.82027,CHARKOP EKDANT SOCIETY
19.21379,72.83707,EKTA NAGAR (KANDIVALI-W)
19.2154,72.83435,GANESH CHOWK
19.21563,72.82213,GANESH MANDIR (KANDIVALI-W)
19.22347,72.85292,SHIMPAVALI NAKA
19.2239,72.84585,SUVARNA HOSPITAL (BORIVALI -W)
19.22385,72.8457,SUVARNA HOSPITAL (BORIVALI -W)
19.20511,72.83895,VAISHALI BHAVAN (KANDIVALI-W)
19.22137,72.84199,YASHKRIPA BUILDING
19.21616,72.82845,PRABODHANKAR THACKERAY NAGAR MARKET (CHARKOP)
